Time,sig_wav_ht_surface,max_wav_ht_surface,peak_wav_dir_surface,peak_wav_per_surface,u-component_of_wind_height_above_ground,v-component_of_wind_height_above_ground
2015-04-09 06:00 CST,1.9849998950958252,2.5209498405456543,67.25,9.75,7.704000377655029,5.796000051498413
2015-04-09 12:00 CST,1.899999976158142,2.4129998683929443,67.0,9.0,-4.788000154495239,-7.092000102996826
2015-04-09 18:00 CST,1.8174999952316284,2.30822491645813,65.25,9.0,-9.82800006866455,-11.71799955368042
2015-04-10 00:00 CST,1.8624999523162842,2.36537504196167,64.5,9.0,-2.357999897003174,4.4100000858306885
2015-04-10 06:00 CST,2.012500047683716,2.555874824523926,65.5,9.0,8.496000480651855,4.824000120162964
2015-04-10 12:00 CST,2.0349998474121094,2.5844497680664062,66.5,9.0,-5.597999811172485,-10.29599962234497
2015-04-10 18:00 CST,1.962499976158142,2.492374897003174,66.25,9.0,-7.235999965667724,-9.720000171661377
2015-04-11 00:00 CST,1.9075000286102295,2.422524929046631,65.0,9.25,11.519999313354491,4.446000051498413
2015-04-11 06:00 CST,1.8874999284744263,2.397125005722046,63.24999999999999,10.0,14.940000343322753,-2.682000017166138
2015-04-11 12:00 CST,1.842499852180481,2.339974880218506,62.50000000000001,9.75,-0.07200014591217041,-14.616001510620116
2015-04-11 18:00 CST,1.84499990940094,2.3431499004364014,62.24999999999999,9.0,-3.4019999742507934,-7.704000377655029
2015-04-12 00:00 CST,1.8025000095367432,2.289174795150757,61.5,9.75,9.953999519348145,3.491999888420105
2015-04-12 06:00 CST,1.7249999046325684,2.1907501220703125,61.75,9.0,13.87800006866455,-3.0960000514984127
2015-04-12 12:00 CST,1.6299999952316284,2.0701000690460205,62.75,9.0,2.9519997596740724,-16.487999725341798
2015-04-12 18:00 CST,1.5474998950958252,1.965324878692627,63.50000000000001,9.0,-2.376000094413757,-8.514000034332275
2015-04-13 00:00 CST,1.4799998998641968,1.8796000480651855,63.50000000000001,9.0,6.948000240325928,3.474000120162964
2015-04-13 06:00 CST,1.4549999237060547,1.84784996509552,62.50000000000001,9.0,11.59199924468994,-4.032000017166138
2015-04-13 12:00 CST,1.4275000095367432,1.8129249811172485,63.75,9.0,-0.4140000343322754,-15.299999999999999
2015-04-13 18:00 CST,1.3975000381469727,1.7748249769210815,64.25,9.0,-7.848000240325927,-10.476000308990479
2015-04-14 00:00 CST,1.4224998950958252,1.806575059890747,62.24999999999999,9.0,8.04599962234497,4.140000343322754
2015-04-14 06:00 CST,1.4774999618530273,1.87642502784729,61.75,9.0,12.67199993133545,-2.6279998540878293
2015-04-14 12:00 CST,1.5325000286102295,1.946274995803833,62.75,9.0,-0.39600005149841305,-15.281999588012695
2015-04-14 18:00 CST,1.6074999570846558,2.041524887084961,63.24999999999999,9.0,-8.56799955368042,-10.548000240325928
2015-04-15 00:00 CST,1.647499918937683,2.09232497215271,63.24999999999999,9.0,2.9339999914169312,-0.6839999914169311
2015-04-15 06:00 CST,1.6899999380111694,2.1462998390197754,63.50000000000001,9.0,7.704000377655029,-2.141999888420105
2015-04-15 12:00 CST,1.7450000047683716,2.2161498069763184,64.5,9.0,-4.770000171661377,-12.420000171661377
2015-04-15 18:00 CST,1.6974999904632568,2.155824899673462,65.25,9.0,-8.352000617980957,-7.614000034332275
2015-04-16 00:00 CST,1.6149998903274536,2.0510499477386475,65.25,9.0,1.2780000686645507,0.4859999656677246
2015-04-16 06:00 CST,1.6124999523162842,2.047874927520752,64.5,9.0,9.414000034332275,-1.6019999742507933
2015-04-16 12:00 CST,1.6249998807907104,2.0637500286102295,65.5,9.0,-2.2320000171661376,-14.237999725341796
2015-04-16 18:00 CST,1.584999918937683,2.0129499435424805,65.25,9.0,-6.659999656677246,-6.3
